pm2_5,date_time,data_source,co,pm10,no_2,level,o3,date,city_name,so_2,AQI
27,2019-01-20 10:17:24.813000,api,0.6,58,34,良,146,2018-10-02,莆田,13,89
13,2019-01-20 10:17:24.816000,api,0.6,27,19,优,85,2018-09-01,莆田,12,43
15,2019-01-20 10:17:24.824000,api,0.6,32,23,优,100,2018-09-02,莆田,10,50
21,2019-01-20 10:17:24.827000,api,0.6,36,24,良,122,2018-08-01,莆田,7,69
21,2019-01-20 10:17:24.835000,api,0.6,30,19,良,142,2018-08-02,莆田,6,85
21,2019-01-20 10:17:24.838000,api,0.7,25,16,优,58,2018-07-01,莆田,4,30
30,2019-01-20 10:17:24.846000,api,1,46,23,良,144,2018-07-02,莆田,5,87
16,2019-01-20 10:17:24.849000,api,0.7,18,21,良,108,2018-06-01,莆田,4,57
22,2019-01-20 10:17:24.857000,api,0.6,31,19,优,96,2018-05-01,莆田,14,48
49,2019-01-20 10:17:24.873000,api,0.7,70,19,良,137,2018-05-02,莆田,8,81
89,2019-01-20 10:17:24.876000,api,1.4,127,64,轻度污染,136,2018-04-01,莆田,18,118
62,2019-01-20 10:17:24.884000,api,1,96,50,良,112,2018-04-02,莆田,16,84
42,2019-01-20 10:17:24.887000,api,1,52,41,良,84,2018-03-01,莆田,12,59
60,2019-01-20 10:17:24.895000,api,0.9,42,25,良,45,2018-03-02,莆田,5,82
34,2019-01-20 10:17:24.898000,api,0.7,51,31,良,73,2016-08-03,莆田,8,51
27,2019-01-20 10:17:24.902000,api,0.7,42,32,优,59,2016-08-04,莆田,9,42
19,2019-01-20 10:17:24.905000,api,0.7,31,28,优,45,2016-08-05,莆田,9,35
40,2019-01-20 10:17:24.908000,api,0.8,63,45,良,96,2016-07-03,莆田,9,57
33,2019-01-20 10:17:24.911000,api,0.7,56,40,良,141,2016-07-04,莆田,8,85
31,2019-01-20 10:17:24.915000,api,0.7,54,38,良,94,2016-07-05,莆田,10,52
34,2019-01-20 10:17:24.919000,api,0.9,51,37,良,147,2016-06-03,莆田,9,90
35,2019-01-20 10:17:24.922000,api,0.9,60,38,良,141,2016-06-04,莆田,10,85
34,2019-01-20 10:17:24.925000,api,0.7,69,44,中度污染,223,2016-06-05,莆田,12,158
42,2019-01-20 10:17:24.928000,api,0.7,88,50,轻度污染,174,2016-06-06,莆田,14,113
70,2019-01-20 10:17:24.930000,api,1,114,53,良,155,2016-05-03,莆田,14,96
50,2019-01-20 10:17:24.942000,api,0.9,86,47,良,123,2016-05-04,莆田,12,70
58,2019-01-20 10:17:24.945000,api,1,104,57,轻度污染,205,2016-05-05,莆田,12,141
73,2019-01-20 10:17:24.948000,api,0.9,119,50,良,123,2016-05-06,莆田,10,98
92,2019-01-20 10:17:24.950000,api,1.3,138,82,轻度污染,47,2016-04-02,莆田,26,122
82,2019-01-20 10:17:24.953000,api,1.1,109,69,轻度污染,125,2016-04-03,莆田,15,109
42,2019-01-20 10:17:24.956000,api,0.9,61,41,良,98,2016-04-04,莆田,13,59
59,2019-01-20 10:17:24.959000,api,1,79,57,良,86,2018-02-01,山南,13,80
54,2019-01-20 10:17:24.978000,api,0.9,92,43,良,70,2018-02-02,山南,19,74
146,2019-01-20 10:17:24.982000,api,3.3,188,79,中度污染,31,2019-01-01,山南,58,195
176,2019-01-20 10:17:24.993000,api,3.4,227,72,重度污染,60,2019-01-02,山南,35,226
218,2019-01-20 10:17:24.996000,api,3.4,375,79,重度污染,25,2018-12-01,山南,35,268
264,2019-01-20 10:17:25.013000,api,3.2,306,75,严重污染,14,2018-12-02,山南,19,314
140,2019-01-20 10:17:25.016000,api,2.8,200,75,中度污染,116,2018-11-01,山南,41,186
115,2019-01-20 10:17:25.025000,api,1.4,152,57,轻度污染,143,2018-11-02,山南,19,150
22,2019-01-20 10:17:25.028000,api,1.5,68,47,良,106,2018-10-01,山南,23,59
42,2019-01-20 10:17:25.037000,api,1.9,104,56,良,115,2018-10-02,山南,25,77
33,2019-01-20 10:17:25.040000,api,1.5,70,32,良,147,2018-09-01,山南,28,90
52,2019-01-20 10:17:25.055000,api,2,116,46,良,111,2018-09-02,山南,16,83
54,2019-01-20 10:17:25.059000,api,1.6,104,34,良,147,2018-08-01,山南,6,90
64,2019-01-20 10:17:25.067000,api,1.4,116,31,轻度污染,188,2018-08-02,山南,10,126
60,2019-01-20 10:17:25.070000,api,1,85,43,良,24,2019-01-02,山南,9,82
63,2019-01-20 10:17:25.216000,api,0.9,85,39,良,21,2019-01-03,山南,9,85
56,2019-01-20 10:17:25.220000,api,1,76,43,良,26,2019-01-04,山南,6,77
58,2019-01-20 10:17:25.223000,api,1,83,52,良,41,2019-01-05,山南,7,79
53,2019-01-20 10:17:25.226000,api,1.2,80,46,良,21,2018-12-02,山南,10,73
50,2019-01-20 10:17:25.229000,api,1,79,57,良,96,2018-11-02,山南,13,72
38,2019-01-20 10:17:25.240000,api,0.7,67,58,良,109,2018-11-03,山南,12,73
71,2019-01-20 10:17:25.243000,api,1,112,71,良,35,2018-11-04,山南,16,95
22,2019-01-20 10:17:25.247000,api,0.6,33,33,优,40,2018-10-02,山南,6,39
19,2019-01-20 10:17:25.251000,api,0.6,29,34,优,34,2018-10-03,山南,5,40
27,2019-01-20 10:17:25.255000,api,0.6,44,38,优,35,2018-10-04,山南,7,44
15,2019-01-20 10:17:25.258000,api,0.6,29,25,良,124,2018-09-02,山南,7,70
26,2019-01-20 10:17:25.261000,api,0.7,47,37,良,130,2018-09-03,山南,8,75
33,2019-01-20 10:17:25.264000,api,0.7,53,31,轻度污染,171,2018-09-04,山南,8,110
29,2019-01-20 10:17:25.267000,api,0.7,50,29,良,126,2018-09-05,山南,8,72
21,2019-01-20 10:17:25.270000,api,0.7,39,34,良,106,2018-08-03,山南,8,55
23,2019-01-20 10:17:25.273000,api,0.6,38,27,轻度污染,176,2018-08-04,山南,6,115
24,2019-01-20 10:17:25.276000,api,0.7,40,32,良,149,2018-08-05,山南,6,91
17,2019-01-20 10:17:25.280000,api,0.9,31,29,优,56,2018-07-03,山南,6,35
37,2019-01-20 10:17:25.283000,api,1.2,59,45,良,44,2018-07-04,山南,7,54
35,2019-01-20 10:17:25.286000,api,1,56,39,良,70,2018-07-05,山南,6,51
36,2019-01-20 10:17:25.289000,api,1,60,46,良,65,2018-07-06,山南,7,55
34,2019-01-20 10:17:25.292000,api,1,58,50,良,111,2018-06-02,山南,9,60
49,2019-01-20 10:17:25.295000,api,1,77,52,良,120,2018-06-03,山南,11,67
35,2019-01-20 10:17:25.299000,api,0.7,58,38,良,119,2018-06-04,山南,8,66
29,2019-01-20 10:17:25.301000,api,0.9,58,54,良,67,2018-05-03,山南,10,68
28,2019-01-20 10:17:25.305000,api,1,79,59,良,134,2018-04-03,山南,12,79
35,2019-01-20 10:17:25.315000,api,1,81,55,良,101,2018-04-04,山南,12,69
21,2019-01-20 10:17:25.319000,api,0.7,33,24,优,68,2018-04-05,山南,6,34
26,2019-01-20 10:17:25.323000,api,1,45,38,优,76,2018-03-03,山南,10,48
41,2019-01-20 10:17:25.325000,api,1,82,45,良,60,2018-03-04,山南,11,66
20,2019-01-20 10:17:25.328000,api,0.7,37,37,优,47,2018-03-05,山南,11,47
21,2019-01-20 10:17:25.331000,api,0.8,30,38,优,28,2018-03-06,山南,6,48
55,2019-01-20 10:17:25.334000,api,0.9,92,50,良,80,2018-02-03,山南,11,75
42,2019-01-20 10:17:25.337000,api,0.7,75,42,良,75,2018-02-04,山南,10,63
40,2019-01-20 10:17:25.341000,api,1.1,52,44,良,8,2018-01-03,山南,9,57
16,2019-01-20 10:17:25.351000,api,1.1,20,38,优,21,2018-01-04,山南,7,48
21,2019-01-20 10:17:25.355000,api,1.2,28,36,优,10,2018-01-05,山南,8,45
55,2019-01-20 10:17:25.358000,api,1,88,50,良,0,2017-12-03,山南,17,60
66,2019-01-20 10:17:25.361000,api,1.2,98,51,良,0,2017-12-04,山南,14,79
78,2019-01-20 10:17:25.364000,api,1.4,113,54,良,0,2017-12-05,山南,15,90
62,2019-01-20 10:17:25.367000,api,1.2,90,56,良,0,2017-12-06,山南,13,93
79,2019-01-20 10:17:25.370000,api,1.4,123,70,轻度污染,64,2017-11-03,山南,12,104
70,2019-01-20 10:17:25.374000,api,1.3,107,56,良,48,2017-11-04,山南,10,93
63,2019-01-20 10:17:25.377000,api,1.3,104,61,良,93,2017-11-05,山南,11,85
84,2019-01-20 10:17:25.379000,api,1.5,141,83,轻度污染,74,2017-11-06,山南,16,111
15,2019-01-20 10:17:25.382000,api,0.9,24,27,优,20,2017-10-03,山南,6,32
17,2019-01-20 10:17:25.385000,api,1,34,39,优,63,2017-09-03,山南,8,47
17,2019-01-20 10:17:25.397000,api,1,35,38,优,28,2017-09-04,山南,9,47
8,2019-01-20 10:17:25.401000,api,0.9,15,28,优,27,2017-09-05,山南,6,35
38,2019-01-20 10:17:25.404000,api,1,73,46,轻度污染,205,2017-08-03,山南,11,140
33,2019-01-20 10:17:25.407000,api,0.9,63,41,轻度污染,162,2017-08-04,山南,11,101
24,2019-01-20 10:17:25.410000,api,0.8,47,29,轻度污染,205,2017-08-05,山南,9,140
22,2019-01-20 10:17:25.413000,api,0.7,44,33,轻度污染,166,2017-08-06,山南,10,105
44,2019-01-20 10:17:25.416000,api,0.9,81,49,轻度污染,193,2017-07-02,山南,12,130
45,2019-01-20 10:17:25.418000,api,1,81,52,轻度污染,198,2017-07-03,山南,13,134
42,2019-01-20 10:17:25.422000,api,1,78,46,轻度污染,181,2017-07-04,山南,12,119
27,2019-01-20 10:17:25.425000,api,0.8,56,36,良,97,2017-07-05,山南,13,53
48,2019-01-20 10:17:25.428000,api,1,91,67,良,52,2017-06-03,山南,13,83
28,2019-01-20 10:17:25.431000,api,0.9,41,36,优,39,2017-06-04,山南,7,45
16,2019-01-20 10:17:25.435000,api,0.8,27,33,轻度污染,167,2017-06-05,山南,7,106
16,2019-01-20 10:17:25.439000,api,0.8,32,31,优,67,2017-05-03,山南,9,37
24,2019-01-20 10:17:25.442000,api,0.9,51,47,良,136,2017-05-04,山南,12,80
26,2019-01-20 10:17:25.446000,api,0.8,51,43,良,59,2017-05-05,山南,8,53
35,2019-01-20 10:17:25.449000,api,0.7,78,33,良,51,2017-05-06,山南,6,63
41,2019-01-20 10:17:25.451000,api,0.8,70,46,良,48,2017-04-03,山南,15,60
48,2019-01-20 10:17:25.455000,api,1,69,43,良,44,2017-04-04,山南,9,66
48,2019-01-20 10:17:25.458000,api,1,68,48,良,29,2017-04-05,山南,10,66
65,2019-01-20 10:17:25.460000,api,1,124,71,良,31,2017-03-03,山南,25,87
77,2019-01-20 10:17:25.472000,api,1.1,132,69,轻度污染,53,2017-03-04,山南,22,102
61,2019-01-20 10:17:25.475000,api,0.9,88,48,良,29,2017-03-05,山南,13,82
42,2019-01-20 10:17:25.478000,api,1.3,56,36,良,30,2017-02-03,山南,10,58
51,2019-01-20 10:17:25.481000,api,1.5,69,46,良,62,2017-02-04,山南,11,70
59,2019-01-20 10:17:25.485000,api,1.5,82,54,良,26,2017-02-05,山南,10,80
80,2019-01-20 10:17:25.487000,api,1.5,109,54,轻度污染,15,2017-02-06,山南,13,106
157,2019-01-20 10:17:25.491000,api,1.9,214,74,重度污染,10,2017-01-03,山南,21,207
171,2019-01-20 10:17:25.494000,api,1.7,231,75,重度污染,9,2017-01-04,山南,32,220
152,2019-01-20 10:17:25.497000,api,1.5,205,65,重度污染,13,2017-01-05,山南,20,202
125,2019-01-20 10:17:25.500000,api,1.5,169,60,中度污染,15,2017-01-06,山南,19,165
63,2019-01-20 10:17:25.503000,api,1.1,102,60,良,10,2016-12-03,山南,14,85
70,2019-01-20 10:17:25.507000,api,1.1,106,56,良,26,2016-12-04,山南,11,94
94,2019-01-20 10:17:25.510000,api,1.2,133,58,轻度污染,15,2016-12-05,山南,14,124
86,2019-01-20 10:17:25.513000,api,1.2,124,55,轻度污染,56,2016-12-06,山南,14,114
60,2019-01-20 10:17:25.516000,api,1.2,97,57,良,27,2016-11-03,山南,16,82
55,2019-01-20 10:17:25.518000,api,1.3,91,66,良,53,2016-11-04,山南,13,83
76,2019-01-20 10:17:25.522000,api,1.3,120,76,轻度污染,19,2016-11-05,山南,21,102
65,2019-01-20 10:17:25.525000,api,1.1,96,51,良,147,2016-10-02,山南,12,90
65,2019-01-20 10:17:25.580000,api,1.1,103,59,良,135,2016-10-03,山南,17,88
47,2019-01-20 10:17:25.583000,api,0.9,81,59,良,122,2016-10-04,山南,13,74
109,2019-01-20 10:17:25.586000,api,1.3,152,77,轻度污染,83,2016-09-03,山南,17,143
105,2019-01-20 10:17:25.591000,api,1,136,45,轻度污染,43,2016-09-04,山南,12,138
69,2019-01-20 10:17:25.593000,api,0.9,83,39,良,34,2016-09-05,山南,8,93
58,2019-01-20 10:17:25.596000,api,0.8,72,42,良,65,2016-09-06,山南,7,79
51,2019-01-20 10:17:25.599000,api,1.5,38,34,良,29,2018-12-03,山南,6,70
39,2019-01-20 10:17:25.602000,api,1.2,91,32,良,34,2018-12-04,山南,6,71
36,2019-01-20 10:17:25.605000,api,0.7,130,33,良,20,2018-12-05,山南,6,90
73,2019-01-20 10:17:25.609000,api,1,72,46,良,12,2019-01-03,山南,5,98
45,2019-01-20 10:17:25.612000,api,1,25,31,良,23,2019-01-04,山南,4,63
141,2019-01-20 10:17:25.615000,api,1.2,0,35,中度污染,42,2019-01-05,山南,5,188
43,2019-01-20 10:17:25.618000,api,0.6,73,46,良,121,2018-11-02,山南,12,68
38,2019-01-20 10:17:25.622000,api,0.6,58,35,良,115,2018-11-03,山南,11,63
42,2019-01-20 10:17:25.625000,api,0.7,57,38,良,95,2018-11-04,山南,9,59
112,2019-01-20 10:17:25.627000,api,0.9,108,37,轻度污染,93,2018-11-05,山南,10,147
31,2019-01-20 10:17:25.630000,api,0.6,59,30,轻度污染,167,2018-10-03,山南,13,107
24,2019-01-20 10:17:25.634000,api,0.7,50,28,良,106,2018-09-03,山南,11,55
33,2019-01-20 10:17:25.645000,api,0.7,58,29,良,136,2018-09-04,山南,7,80
33,2019-01-20 10:17:25.648000,api,0.9,64,30,良,149,2018-09-05,山南,10,91
31,2019-01-20 10:17:25.651000,api,0.7,52,15,良,113,2018-09-06,山南,6,61
24,2019-01-20 10:17:25.654000,api,0.7,38,24,良,157,2018-08-03,山南,7,98
27,2019-01-20 10:17:25.656000,api,0.9,44,24,良,134,2018-08-04,山南,8,79
27,2019-01-20 10:17:25.659000,api,0.9,42,22,良,156,2018-08-05,山南,9,97
14,2019-01-20 10:17:25.662000,api,0.7,23,17,优,91,2018-08-06,山南,10,46
17,2019-01-20 10:17:25.666000,api,0.9,33,23,良,124,2018-07-03,山南,9,70
23,2019-01-20 10:17:25.669000,api,0.6,39,20,良,110,2018-07-04,山南,10,59
42,2019-01-20 10:17:25.672000,api,0.9,54,21,良,96,2018-07-05,山南,9,54
29,2019-01-20 10:17:25.676000,api,0.6,33,21,良,114,2018-06-02,山南,4,62
33,2019-01-20 10:17:25.679000,api,0.7,48,25,轻度污染,171,2018-06-03,山南,6,110
37,2019-01-20 10:17:25.681000,api,0.7,55,40,良,127,2018-06-04,山南,7,73
22,2019-01-20 10:17:25.685000,api,0.7,28,34,优,83,2018-06-05,山南,6,43
50,2019-01-20 10:17:25.688000,api,0.8,89,35,良,157,2018-05-03,山南,9,98
